status,text
1,"Отличное место для спокойных пеших прогулок в прохладе Малой алматинки. Терренкур освобождён от велосипедов и самокатов, поэтому можно ходить с детьми, не переживая, что с ними кто-то может столкнуться. Вдоль набережной установлено несколько спортивных и игровых площадок и работает несколько небольших кафе."
1,"Прекрасный парк расположен на набережной реки Малая Алматинка. На протяжении всего парка есть места отдыха: лавочки, качели, кафешки. Деткам будет очень интересно) Есть бесплатные чистейше уборные. Для деток и взрослых качели, канатные шары. Идеально подойдут любителям бега и пеших прогулок)"
1,"Живописное место для прогулок и пробежек (на городских самокатах проезд запрещен). Есть детская площадка, уличные тренажеры со спортивными площадками, бесплатные туалеты и несколько небольших, но уютных кофейнь. Различная декоративная растительность радует глаз. Единственное, озеро в конце терренкура нужно привести в порядок, там прям печально."
1,"Гуляйте в удовольствие, красиво, чисто, безопасно. Есть несколько кафе-закусочных, чуть ниже пр. Аль-Фараби, чуть выше, есть на ул. Комаровой. Дойдя до искусственного озера, пройдите выше к гостинице и сверните направо, через метров 400 будет продолжение тропы в горах."
1,Приятное место для прогулок! Очень красивые места! В парке небольшое озерцо с дикими водоплавающими птицами! Беседки!
1,"Прекрасное безопасное место для пеших прогулок с семьёй. Перед проспектом Аль-Фараби и чуть выше есть кафе, где можно поесть и попить кофе. Есть площадки для отдыха и физических упражнений."
1,"Сама идея обустроить пешеходную дорожку вдоль ручья для прогулок и отдыха, по-моему, великолепна. Но в данном случае похвалю и ее реализацию: здесь чисто, много удобных скамеек и есть, на что посмотреть. Удобно и для детей, и для родителей с коляской. Атмосфера отдыха."
1,"Очень приятное, ухоженное место. На всём протяжении маршруту много скамеек, зон отдыха с тренажёрами, указатели, познавательеые таблички на растениях. Сама река в очень хорошем состоянии. Креативно укреплены берега. Красивые мостики. Люблю туда ходить!!"
1,"Очень красивое и живописное место. Можно просто погулять, по наслаждаться природой и погодой, а можно и фотосессию здесь провести 👍"
1,Любимое место для прогулок. Пройти весь терренкур очень полезно для здоровья. Имеются общественные туалеты и кафейни.
1,"Классное место для прогулок, но слишком много гуляющих... Идеально ранним утром или в непогоду - виды красивые, народу мало"
1,"Как же здесь красиво в любое время года,в любую погоду. Здорово гулять вдоль горной реки под кронами деревьев,слушать пение птиц. Как много здесь мамочек с детками. Красота😍"
0,"Два туалет на всем пути, и те убитые. Само место в целом красивое, но нет «вау» эффекта. А пешая дорога до Теренкура идеально подходит для того, чтобы просто отдохнуть от города."
1,Терренкур отличное место раньше зимой здесь катались на горках щас перекопали сделали частную горку . Хотя это Территория давно уже частное просто многие об этом не знают
1,"Отличное место для пеших прогулок. Чисто и порядок, есть спортивные площадки, тропа идёт вдоль реки."
1,"Очень прекрасно! Когда, 8 лет назад был в Австралии и тогда подумал, у нас в Алматы такие же пешеходные и для пробежки нуждается. Сегодня, гордостью произношу, наш Терренкур с Малой Алматинкой лучшее место для бега и прогулки! Теперь сделано питьевая вода и санузлы отличные. Спасибо, тем кто это создал и за ежедневной уход любое время года! С уважением, кандидат экономических наук Амангелды Жумаханович Мукаханов"
1,"Отличное место для прогулок как в компании друга, собаки или пройтись одному. На пути есть небольшие кафе, где можно посидеть и отдохнуть. Есть площадка для баскетбола. Все оборудовано для прогулок. Маршрут легкий, но горка присутствует. Туалет есть 🥸"
1,"Шикарное место для прогулок. Для уединения. Для спорта. Для семьи. Пройдитесь вдоль речки, и вам понравится!"
1,Просто красота! Можно на плотине любоваться красотою. Хорошее место для отдыха! Советую. На 5 звёзд оцениваю.
1,"Отличное место для прогулки. Меня радует что в этом году прилетели много уток, значит все в порядке с экологией."
1,"Это пешеходная тропа, оборудованная скамейками и местами развлечения для детей, кафешками. Тропа очень протяженная, и идёт в гору, то есть походить есть где и устать тоже. Рядом течет ручей на всем протяжении тропы."
1,"Для меня это место открытие года! Даже не знал, что в Алмате есть такое сказочное место! Гуляли там ночью, так классно! Везде всё освещается, много мест где можно посидеть, отдохнуть, подышать свежим воздухом. Осенью там очень волшебно!"
1,"Тропа здоровья. Прям особой красоты или каких то достопримечательностей на нашла. Идешь , вокруг зелено , река горная. Можно сойти с маршрута в любое время и присоединиться. Так как много выходов. Прогулялись неплохо. Но второй раз не пошла бы."
1,"Гуляла несколько часов, так понравилось что не хотела уйти! Озеро очень классное и утки есть. Мне очень нравится на выходных гулять!"
1,"Хорошее место для прогулок. Много площадок, есть где посидеть выпить кофе и перекусить"
1,"Поставлю 5 звёзд, честно скажу ни разу не был, хотя кореной алматинец)) надо посетить и оставлю еще отзыв обязательно. Слухи ходят, что осенью очень шикарно там."
1,Очень живописное место для летней прогулки! Симпатичные кафе и детские площадки Из минусов: - всего 2 туалета (в начале и в конце) - пруд в конце маршрута без воды(( а мы хотели покормить уточек
1,"Все зависит от погоды! Это то место где хранится тайна ,встречи и расставания, всплеск идей, уныние и тоска, веселье и беззаботная радость. Да просто хорошее место для времяпроведения ."
1,"Задумка замечательная, но... Как всегда у нас, ничего не доделали! Заканчивается дорога ничем... До озера с ротондой нужно идти просто вдоль трассы по тратуару"
1,Функциональный и красивый маршрут для прогулок! На тропе есть туалеты и фонтанчики с водой!
1,"Отличное место для прогулок,ровный асфальт,освещение,есть турники и питьевые фонтанчики,туалеты.Из минусов,самокатчики велосипедисты,собачник без поводков"
1,"Красивое место отдыха,жаль что мало скамеек,ведь по Аллене Здоровья ходят очень много людей преклонного возраста"
1,Приятный прогулочный маршрут вдоль реки Малая Алматинка. Красиво в любое время года.
1,"Очень удобное место для прогулок. Отдельная пешеходная дорога вжоль реки. Есть скамейки детские и спортивные площадки. Часто можно видеть горожан занимающихся пробежками, или скандинавской хотьбой. В обеденное время много гуляющих из расположенных вдоль теренкура деловых центров."
1,"Для прогулок лучше выбирать лето и осень, ближе к зиме прохладно и не так живописно. Вид обычный: тропинка вдоль речки. С детьми как раз можно прогуляться. Туалетов во время дороги найдено не было."
1,"Оооо, это любовь…. Обожаю гулять по терренкуру….. часто пешком иду домой от озера и до Сатпаева"
1,"Озеро очень грязное и беседки вандалы разрисовали и немного подпортили. Народ у нас неряшливый, после себя мусор оставляют, а так вдоль аллеи речка и скамейки, посидеть, подышать очень даже 👍. Туалеты чистые, вода, бумага всё есть. Бесплатно. Есть кафе, кофейня, живая музыка ребята очень классно поют🫶🏻 Была впервые. Очень понравилось, в копилку ➕ одно место, рекомендую ❤️"
1,"Это самое любимое место в городе, прошу только не меняйте ничего, не добавляйте цивилизации, это место должно оставаться таким - природным !"
1,Хорошая место для прогулки. Свежий воздух. Хорошо благоустроили для прогулки.
1,"Одно из лучших мест для прогулки в городе. Помню ещё свалкой, а сейчас любо дорого пройтись. Обидно, что все реки в городе так не облагородят. Особенно в нижней части города. Вот если бы по всей длине наших речек сделать такие пешеходные зоны, то и машин бы поуменьшилось... Хотелось бы верить... 🤣"
0,Слишком много богатых людей
0,Кто знает есть там рыба и можно ли ловить??
0,"Great location, terrible service from waiters, food did not arrive until after about 1 hr. Had to ask for knife and fork several times. Quality of food was poor."
0,очень красиво 😻
0,Что за ужасный запах напротив садика ?
0,Уточки. Страдают. Помогите им.
0,"Много слышала про Терренкур , решила посетить, и была не в восторге, ужасно грязно, беседка , пруд , бедные утки . Неужели никто не следит за чистотой , для чего во круг пруда эти беседки ? Они все закрыты, это ларьки? Одно понравилось что есть туалет- бесплатный! Хорошая тропа вдоль воды , красиво👍🏻"
0,"СЛУШАЙТЕ АКИМАТ МЕДЕУСКОГО РАЙОНА ЭКОНОМИТ НА ФОНАРЯХ ,НЕ ВОЗМОЖНО ПОСЛЕ 19.00 ПРОЙТИСЬ ТАМ ИЗ ЗА ТОГО ЧТО ФОНАРИ НЕ ГОРЯТ И ТЕМЕНЬ,АЛКАШЕЙ ОЧЕНЬ МНОГО СТАЛО,И КАЧЕЛИ ВСЕ СЛОМАННЫЕ,ЦЕНТР ГОРОДА МЕДЕУСКИЙ РАЙОН ВСЕРАВНО АКИМАТ НЕ РАБОТАЕТ"
0,"Сплошные машины, велосипеды и скутеры, спокойно с коляской не погулять, а иначе как по пешеходной дороге к домам и кафе машинам не проехать."
0,"До карантина и до РЕКЛАМЫ терренкура всем подряд где только можно и нельзя, здесь было великолепно. После-муравейник! Господи,уберите знак что велосипедам нельзя,раньше такого не было. 😤😤😤 Тогда уж велодорожки стройте!!!"
0,"Живу здесь очень давно, до реконструкции так классно было, на велосипедах можно было ездить 😠 на ленина едешь-люди, на терренкуре людей очень много тоже, так еще и запрет, в одном месте можно ходить или нет???! уберите знаки или сделайте велодорожки !"
0,Каким-то тупым баранам с акимата пришло в голову запретить велосипеды на терренкуре после реконструкции. Ну и зачем нужна такая реконструкция?!
0,"Освещения нет, темно, непонятно где вход где выход, люди приезжают и в темноте ищут вход, в такой темноте там в лесу опасно. Нет туалетов, опознавательных знаков, поста полиции. Почему не строят биотуалеты? Урны все забиты мусором"
0,"Вечером темно и ничего не видно, почему бы не установить фонари. Скамеек практически нет. Грязно."
0,Туалет таба алмай қиналдық
0,"Все перекопано, снизу вверх идти никакого кайфа, дорога разбита. Не понимаю всеобщего ликования от этого места!"
0,"Действительно, место красивое, но запах садика портит всё впечатление."
0,"Вокруг садика слишком много мусора, а утки выглядят настолько запущенными, что хочется им помочь."
0,"Слышал много хороших отзывов о Терренкуре, но разочаровался. Грязно, утки живут в непрезентабельных условиях, беседы вокруг пруда выглядят заброшенными."
0,"Вокруг слишком много транспорта, неспокойно гулять с коляской, все время приходится уступать дорогу машинам и велосипедам."
0,"Для рекламы и заключения Терренкур начал движение, но теперь здесь сплошной хаос из-за запретов на велосипеды."
0,"Нет освещения, темно и неудобно ориентироваться. Нет туалетов и постов полиции. Где безопасность?"
0,"Нужно установить фонарики, чтобы вечером было видно и чувствовали себя безопаснее. Скамеек почти нет, а урна забита мусором."
0,"Туалет в Таба Алмае находится в плачевном состоянии, это просто кошмар."
0,"Весь Терренкур перекопан, постоянные постройки портят всю атмосферу места."
0,"Непонятно зачем, конференцию реконструкцию, если результат такой печальный. Раньше было намного лучше!"
0,"Летом здесь невыносимо жарко из-за смены теней и зелени, а вода в прудах выглядит подозрительно."
0,"Отсутствие адекватной системы управления мусором приводит к тому, что мусор разбросан по всему миру, зачем вообще реконструировали это место?"
0,"Не хватает информационных указателей, часто теряешься и не можешь найти нужный выход."
0,"Дорожное покрытие в ужасном состоянии, опасно ходить и кататься на велосипедах из-за проблем и нарушений."
0,"Необходимо улучшить общественный транспорт в этом месте, чтобы сделать его более доступным для всех."
0,Постоянные работы с электричеством приводят к неудобствам и ощущению нестабильности.
0,"Вода в прудах выглядит загрязненной, запахи из канализации отвратительные."
0,"Общественные туалеты в ужасном состоянии, лучше их вообще закрыть, чем допускать людей в таких условиях."
0,В контейнере не хватает мусора
0,"Место наполнено шумом и суетой, невозможно найти уединенное место для отдыха."
0,"Мест для парковки недостаточно, приходится тратить много времени на поиск места для автомобиля."
0,"Зона очень загрязнена, мусор и окружающая грязь создают впечатление запущенности"
0,Обстановка становится все более тревожной из-за нехватки мест и перенаселенности.
0,Нет никакой возможности спокойно погулять с детьми
0,Невозможно найти чистый и пригодный для использования туалет.
0,Цены на услуги здесь непомерно завышены
0,"Постоянные проблемы со связью и связью, трудно оставаться на связи в этом месте."
0,Отсутствие охраны и методов контроля
1,Хорошее место для прогулок в летнее время
1,От озера только болото осталось! А так классно
1,Классное место
1,Красивое место для прогулок всей семьей.
1,Отличный маршрут для прогулки
1,Супер место для прогулок
1,"Красиво, воздух будто лучше, хочется гулять и отдыхать от суеты"
1,"Отличное место для прогулки. Меня радует что в этом году прилетели много уток, значит все в порядке с экологией."
1,Функциональный и красивый маршрут для прогулок! На тропе есть туалеты и фонтанчики с водой!
1,Красивое место
1,"Это самое любимое место в городе, прошу только не меняйте ничего, не добавляйте цивилизации, это место должно оставаться таким - природным !"
1,Хороший парк
1,Замечательное место для прогулок
1,Отличное место для прогулки. С самого низа до верха и обратно 9 км. Фото просто шикарные. Очень много спортсменов. Есть по дороге туалеты и питьевая вода. Также есть места где можно посидеть попить кофе и покушать
1,Классное место для прогулок и занятия спортом.
1,Благоустрой
1,"Очень атмосферная пешая тропа. Кафешки, кофейни, пуфики-груши прямо у речки! Летом здесь наверное тоже чудесно, но мы гуляли 🍂 осенью. Красота!!! Детские площадки, качели и конечно места для фото"
1,Отличное место для прогулок. чисто люди ходят занимаются своим здоровьем чего и другим желаем
1,Самая лучшая аллея
1,"Красота, свежий воздух, приятная прогулка."
1,"Самое родное место, так как всегда наводит на детство и беззаботное время"
1,"Хорошее место для прогулок. Много площадок, есть где посидеть выпить кофе и перекусить"
1,"Отличное место для прогулки. Есть места с детскими лазелками, лавочками и кафе. Но не видели ни одного туалета по пут"
1,"Одно из немногих мест в городе, где можно прогуляться, отдохнуть и подышать свежим воздухом. Осенью , с утра , когда солнце только взошло, особенно красиво!"
0,Стало хуже☝️ нужные турники снесли зачем то и установили не понятно что☝️
1,"Очень красивое и ухоженное место. Много разных лавочек, качелей, детских и спортивных площадок. Есть кафе и бесплатный, чистый туалет. Терренкур идет вдоль реки поэтому здесь живописно и Есть места для фотосессии."
1,"Мне никогда не было так комфортно, расселись на пуфиках и смотрели сериал, я даже чуть не уснул, место просто супер !"
1,Ништяк
1,Один из любимых мест в городе. Акимат хорошо благоустроил для пешей прогулки.
1,"Для меня это место открытие года! Даже не знал, что в Алмате есть такое сказочное место! Гуляли там ночью, так классно! Везде всё освещается, много мест где можно посидеть, отдохнуть, подышать свежим воздухом. Осенью там очень волшебно!"
1,Здорово! Хорошая трасса для пробежки с ощутимым подьемом и спуском
1,"Как же здесь красиво в любое время года,в любую погоду. Здорово гулять вдоль горной реки под кронами деревьев,слушать пение птиц. Как много здесь мамочек с детками. Красота😍"
1,"Отличное место для спокойных пеших прогулок в прохладе Малой алматинки. Терренкур освобождён от велосипедов и самокатов, поэтому можно ходить с детьми, не переживая, что с ними кто-то может столкнуться. Вдоль набережной установлено несколько спортивных и игровых площадок и работает несколько небольших кафе."
1,"Очень красивое место для прогулок, свежий воздух обеспечен."
1,"Красивое место для прогулок и отдыха. Есть много лавочке, детские и спортивные площадки. Кафе и туалеты бесплатные и чистые. Терренкур идет вдоль реки, поэтому здесь очень живописно, можно проводить фотосессии."
1,"Это богатство, свежесть, рай"
1,"Очень красивое место. Рекомендую прогуляться. Красота природы дано Всевышнем🙏🏼 удобно для пикника коврики постелили, кофеен несколько открыли. Туалет есть."
1,Я здесь летом и зимой) Очень красиво
1,"Очень красиво осенью, теперь надо змой"
1,Классно
1,Красивая местность для прогулки
1,"Чистый воздух, шум речки и восхитительная природа. Что может быть лучше в шумном городе, прогулки по Теренкуру"
1,"Чистый воздух,мало людей по утрам можете позаниматься"
1,Это восхитительное место
1,"Мне кажется, что комментировать это прекрасное место излишне, прекрасное сочетание зеленого окружения, шума воды и, на сегодня, комфортной инфраструктуры. Хотя можно было все таки добавить чуть чуть больше услуг, особенно выше Митина!"
1,Очень замечательный пешеходный туризм
1,"Потрясающе уединенное место для прогулки. Журчащая вода, аккуратная тропа после реновации, чистый воздух сравнительно с городом, деревья с высокими кронами и плотной листвой отличный сказывается на самочувствии. Есть удобные скамейки, качели, игровые площадки для детей, в некоторых местах точки для перекуса, кофе. Лучше прогулку начать с пересечении улиц Достық и Оспанова, так как удобнее спускаться, чем подниматься в сторону гор, а заканчивается терренкур где Дворец республики. Однозначная рекомендация ради профилактики здоровья."
1,Классное место для неспешных прогулок
1,"Красивая тропа вдоль водоёма отлично подходит как для утренних пробежек, так и для вечерних прогулок!"
1,"Самое то для любителей природы, естественного белого шума в виде журчания речки. Облагородили тропу просто наслаждение!!!"
1,"Красивое место, всем рекомендую к посещению."
1,"Замечательное атмосферное место. Свежий воздух, приятные люди. Всё для души и тела. One love my Almaty🍂🍁"
1,Very peaceful. The leaves are gorgeous.
1,Прикольно здесь)
1,"Моя самая любимая локация в городе! Умиротворение и наслаждение видами ждут гуляющих в этом месте. Летом деревья дает отдохнуть от зноя, шум воды успокаивает. Кроме того здесь нет скутеров и мало кто ездит на велосипедах. Облюбованное место людей приверженцев ЗОЖ. Люблю терренкур выше Аль-фараби без шумной музыки и кучи кафешек. А ещё можно понаблюдать и покормить утечек в пруду."
0,"Чисто для прогулок и пробежек , сегодня была ожидание и реальность....
Для фотосессии желательно ездить в конце октября либо в ноябре. Хотя очень хвалили что красивое место )"
1,"Излюбленное место отдыха горожан, цивильно-приятно-опрятно!"
1,Өте керемет
1,Идеальное место для вечерней прогулки 🚶
1,лучший место
0,Начина с 2/3 отрезка в сторону озера напрочь отсутствует освещение. Тьма тмешная. почему не меняют лампочки в фонарях?
1,"Хорошая тропа, в конце Ротонда прям радует глаз)

P.S. за чистотой пруда некому следить к содалению."
1,Отличное место для прогулок
1,"Отличное место, для прогулок с винишком в кофейных стаканчиках)"
1,Идеальное место для пробежек
1,"1. Отличное место для пешей прогулки.
2. Чисто и точка.
3. Установить доп.туалет в середине тропы
4. Уточки!!! Хотя бы перевезите их в другое место с условиями."
1,"Давайте тогда 01.07.2023г проведём большой субботник. Кто захочет придет, и после можем просто посидеть. Кто за буду ждать там в 12 дня"
1,"Обожаю эту дорожку, река журчит, такое спокойствие приходит🧘"
1,"Классное место, рыбок нет или есть но по крайне мере не поймал"
1,Классное место для отдыха и прогулки !
1,"Хороший тамада, да и конкурсы интересные. Спасибо за крксивый ауетентичный стол. За грибы 5/5❤️"
1,"У меня вышла отличная прогулка по этой тропе. Честно говоря, придраться не к чему. Место получилось отличное."
1,Летом еще красивее😍тихое месточко вдали от суеты🫶🏻
1,"Отличная тропа, оборудована лавочками и спортивными снарядами. Если идти от гостиницы Казахстан, то получится подъем в гору, это чуть сложнее для ног будет"
1,"Хорошее место для прогулки. Очень красиво. Была зимой, но кажется этот парк создан для осени! Очень чисто, много деревьев, речушка. С удовольствием провела время!"
1,"Место очень красивое. Но слишком мнго людей. Плюс и тут на свои обдолбанных самокатах мешаются под ногами. Если хотите спокойно насладиться природой, и тишиной, то лучше приходите в будни или рано утром."
1,Примерно 8000 шагов в итоге 👍
1,Безумно красиво и идеальное место для отдыха.
1,"Сказочно красивое место, особенно осенью: неспешно пройтись по ухоженной тропе вдоль бурлящей реки, подышать, посмотреть на уточек, да и просто немного абстрагироваться от городской суетной жизни.."
1,"Мне понравилось, сделано хорошо, идти приятно и люди красивые"
1,"Отличное место для прогулки. Тихо, красиво!"
1,"Место очень многолюдное, особенно в выходные дни. Кафе для парка хорошие. Хотя цены на еду ожидаемо завышены"
1,Beautiful and peaceful
1,Все мега космично
1,"Сказочное место. Там есть утки, рыбки. Что хочу отметить граждане #возмимусорссобой"
1,Очень красиво
1,Прекрасное место для прогулок и для фото. Можно полюбоваться и покормить уток.
1,Одно из любимых мест в городе
1,Одно из лучших мест для прогулок в Алматы. Даже в жару здесь не сильно умираешь от пекла. К посещению однозначно рекомендуется.
1,Всё красиво и тишина
1,"Очень классное место для бега в любую погоду, а теперь ещё и фонтанчик с водой установили, так вообще класс!
Побольше бы таких фонтанчиков с водой и бегуны будут очень благодарны!"
1,"Тропа-легенда) после облагораживания стала ещё популярнее. Прекрасный маршрут для спортивной прогулки. Речка, тень, спортивные площадки, цветы... Настоятельно рекомендую!"
1,"Дорога ровная, мало скамеек, спортивные площадки есть, людей не так много, в пути есть 2-3 места для перекуса. В общем рекомендую для прогулок"
1,Ирина кайратовна-закладка
1,"Настоящий оазис среди каменных джунглей. Если устали гулять по городу, а отправляться в горы в планы не входило, вам прямиком сюда.
Прекрасно обустроенная пешая тропа для неспешных прогулок протяженностью 4,5 километра. Оборудована скамейками, качелями, информационными стендами. Тянется вдоль реки. Даже в жаркий день тут очень комфортно, много зелени создающей тень. Есть туалеты и пара кафе. Место, где хочется гулять и не один раз."
1,"Очень красивое место для прогулок. Везде лавочки,очень чисто.Особенно кто,занимается спортом.Можно побегать вдоль речки или походить.Стоят бесплатные туалеты.На деревьях встретили белочек."
1,"Очень красивое место для прогулки, свежий воздух, также приятный звук от речки. Зимой можно кататься на аргамаках или пакетах."
1,"Здравствуйте. Ходили в теренкур. Это аллея. И пешком можно спуститься до сатпаева. Это не парк. Действительно очень прохладно и свежо. Идти вдоль речки. Для тех кто думает о пикнике - скорее всего нужно будет сидеть только на скамейках, как в парке не получится. Идти очень легко вниз. Нужно доехать до моста и оттуда идти вниз. Вверх тежелее будет."
1,Очень круто когда есть фотографии
1,Отличное место для прогулок.
1,Люди можете подсказать вход платный?
1,Очень красивое место!
1,"Гуляла по Терренкуру ещё и до всей этой реновации и благоустройства территории. Даже тогда это место было особенным для прогулок. Абсолютная тишина (за исключением, конечно, речки), тенистая дорога и свежий воздух. Сейчас же приятно ходить по ровной дороге и любоваться новыми насаждениями. Людей естественно стало больше, но в принципе это никак не мешает так же наслаждаться этим местом."
1,"Подскажите,можно ли устроить пикник?"
1,"Весьма неплохое место. Здесь можно легко нагулять десять тысяч шагов. Очень красивое место, и пожалуйста, люди, не мусорите здесь. Вообще лучше не мусорить где попало. На пути тропы есть мусорные баки, можете быстро дойти несколько десятков метров и выбросить туда свои пакетики и медицинские маски. И не надо щелкать семечки, сохраняйте чистоту. Здесь вам не базар. 😐"
1,Отличное место для тренировок и прогулок с семьей
1,"Хорошее место для отдыха, свежий воздух . Рядом с рестораном ""аб"" пруд. Очень красиво . Летом утки плавают , в выходные очень переполненно. В ночное время темно т.к нет фонорей"
1,"Приятное место для прогулок, красиво, люблю здесь гулять."
1,"Красивое место для отдыха, свежий хрустальный воздух, плавают утки в пруду, под ногами шуршат листья, в выходной день многие приходят сюда, чтобы отдохнуть от городской суеты и набраться сил перед предстоящей рабочей неделей."
1,"Такое замечательное место для прогулок! Хорошо облагородили тропу Терренкур. Чисто, опознавательные знаки, скамейки для отдыха, урны, массивные качели, детские и спортивные площадки – в общем есть все! Гуляй и наслаждайся! Давайте будем беречь нашу природу и убирать за собой мусор 😊"
1,"Чисто, свежо и красиво! Обожаю!"
1,Очень красивое место
1,Все хорошо сделали 👍
1,Очень красивое место. Для прогулок самое то🤩
1,🇰🇿🔥красота 🇰🇿🇰🇿🇰🇿🇰🇿🇰🇿
1,"Всего один раз побывала, но там так уютно и красиво, что не забудешь эти ощущения. 🌱Чистый воздух, прохладный ветерок🍃, успокаивающий звук речки🐚, семьи на прогулке, бегуны, всё это создаёт особенную атмосферу🌿💫"
1,"Очень уютное место для прогулок с семьей и малышами)) чистый воздух, шум воды - так круто!"
1,Родился и живу в Алмате и никогда незнал об этом месте даже ещё не был просто фотки увидел ну понравился
1,"😍😍😍😍😍😍😍
Класс просто класс"
1,"Свежий воздух, тишина.
Очень классное местечко."
1,у меня там упал скейт в воду
1,Отдохнули от души… 😉
1,Любимое место в городе
1,Замечательное место для прогулок. В жару приятная прохлада. Свежо и чисто. Лавочек и мест для отдыха предостаточно. Гуляйте по тропе здоровья и наслаждайтесь прекрасными видами. Совмещайте приятное с полезным.
1,"Кто нибудь скажите, можно пикник делать? Есть ли такое место там?"
1,"Шикарное место для отдыха, все такое красивое"
1,Безумно красивое место😍
1,Очень красивое место для прогулок
